Location,Nominal,Bunny_1,Bunny_2,Bunny_3,Bunny_4
 Point_tilt_ear_3,19.88,19.6,22.52,20.69,2.18
 Point_tilt_ear_3,9.34,9.41,9.03,7.94,30.63
 Point_tilt_ear_3,11.91,11.99,11.8,12.71,8.84
 Point_tilt_ear_2,20.75,20.51,20.35,20.47,1.92
 Point_tilt_ear_2,9.01,9.05,9.13,9.18,31.51
 Point_tilt_ear_2,11.05,11.21,11.32,11,9.64
 Point_tilt_ear_1,21.18,20.92,20.81,20.96,2.87
 Point_tilt_ear_1,10.08,10.04,10.06,10.1,32.03
 Point_tilt_ear_1,10.62,10.84,11,10.64,9.98
 Point_tilt_back_right_3,9.73,9.52,9.21,9.76,5.59
 Point_tilt_back_right_3,13.55,13.51,13.5,13.64,20.6
 Point_tilt_back_right_3,22.06,22.08,22.18,21.9,-1.34
 Point_tilt_back_right_2,10.84,10.62,10.31,10.58,5.68
 Point_tilt_back_right_2,13.1,13.07,13.03,13.2,22.66
 Point_tilt_back_right_2,20.95,20.99,21.09,20.86,-0.21
 Point_tilt_back_right_1,12.12,11.89,11.62,11.87,5.33
 Point_tilt_back_right_1,13.12,13.01,12.93,13.1,22.96
 Point_tilt_back_right_1,19.68,19.72,19.8,19.56,0.95
 Point_tilt_back_left_3,10.45,10.21,10.51,10.15,-5.41
 Point_tilt_back_left_3,2.18,2.22,5.29,2.6,21.03
 Point_tilt_back_left_3,21.34,21.45,19.21,21.38,0.11
 Point_tilt_back_left_2,11.57,11.33,12.15,11.22,-4.48
 Point_tilt_back_left_2,3.16,3.23,3.38,3.56,22.17
 Point_tilt_back_left_2,20.23,20.33,19.26,20.26,1.1
 Point_tilt_back_left_1,12.67,12.58,12.14,12.38,-4.31
 Point_tilt_back_left_1,3.18,3.27,3.39,3.55,23.31
 Point_tilt_back_left_1,19.12,19.22,19.26,19.14,2.17
